epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,95.6735,2.32172,3.97714,2.52819,0.00269,0.72985,0.08252,0.02443,2.48686,4.60725,2.88035,0.0003125,0.0003125,0.0003125
2,190.509,2.12021,3.57922,2.21574,0.00335,0.75519,0.05662,0.01548,2.77734,4.29055,3.25748,0.000624877,0.000624877,0.000624877
3,285.192,2.08883,3.47745,2.18096,0.31572,0.03417,0.03024,0.00613,2.97276,4.30692,3.23541,0.000924385,0.000924385,0.000924385
4,375.943,2.14687,3.5068,2.22852,0.53524,0.07138,0.03094,0.0085,3.02227,5.4106,4.16092,0.00117575,0.00117575,0.00117575
5,456.924,2.11975,3.36091,2.17242,0.55413,0.12417,0.04596,0.01384,2.44349,5.27222,3.19982,0.001151,0.001151,0.001151
6,538.528,2.08188,3.32334,2.15476,0.31943,0.1819,0.0574,0.01707,2.53015,4.96381,3.10303,0.00112625,0.00112625,0.00112625
7,618.665,2.04946,3.27837,2.12087,0.31571,0.15244,0.0346,0.00918,2.74608,4.79516,3.05338,0.0011015,0.0011015,0.0011015
8,699.504,2.0978,3.21514,2.17066,0.08117,0.22382,0.07059,0.02039,2.54149,4.64747,2.87939,0.00107675,0.00107675,0.00107675
9,779.651,2.09259,3.26929,2.15955,0.59771,0.11358,0.07783,0.02279,2.53506,4.26863,2.84794,0.001052,0.001052,0.001052
10,859.151,2.03176,3.05876,2.08153,0.40929,0.25556,0.11648,0.03189,2.46862,3.75601,2.78735,0.00102725,0.00102725,0.00102725
11,939.319,2.00635,3.07208,2.068,0.33358,0.22275,0.11214,0.03168,2.3913,4.28533,2.67129,0.0010025,0.0010025,0.0010025
12,1019.45,2.04436,3.08245,2.10408,0.37929,0.16885,0.10097,0.02831,2.3886,3.66302,2.61003,0.00097775,0.00097775,0.00097775
13,1098.91,2.01746,2.99328,2.05386,0.36903,0.23915,0.14125,0.04954,2.39805,3.46206,2.62911,0.000953,0.000953,0.000953
14,1179.75,2.00653,3.06687,2.0691,0.40426,0.18415,0.14048,0.04844,2.38551,3.36312,2.55619,0.00092825,0.00092825,0.00092825
15,1259.76,2.01213,3.05584,2.08702,0.39857,0.22972,0.12946,0.04448,2.24472,3.0931,2.48817,0.0009035,0.0009035,0.0009035
16,1339.98,1.95955,2.98014,2.03599,0.36371,0.16212,0.05664,0.01437,2.67686,3.28662,2.75911,0.00087875,0.00087875,0.00087875
17,1420.45,1.9562,2.91616,2.03664,0.38799,0.24774,0.15015,0.04737,2.36344,3.22441,2.53193,0.000854,0.000854,0.000854
18,1501.04,1.95553,2.91772,2.00248,0.39748,0.17167,0.14468,0.04664,2.38007,3.17244,2.56272,0.00082925,0.00082925,0.00082925
19,1581.31,1.92856,2.86834,1.99227,0.86054,0.08333,0.1409,0.05029,2.27223,3.86504,2.52885,0.0008045,0.0008045,0.0008045
20,1661.39,1.95968,2.8473,2.00731,0.45159,0.26442,0.17831,0.0653,2.22025,3.0219,2.49374,0.00077975,0.00077975,0.00077975
21,1741.46,1.93335,2.77202,1.96563,0.32254,0.14424,0.20097,0.07953,2.16328,2.98389,2.40432,0.000755,0.000755,0.000755
22,1821.58,1.90651,2.79225,2.00532,0.43896,0.21858,0.17409,0.06924,2.28827,3.3971,2.46885,0.00073025,0.00073025,0.00073025
23,1901.65,1.89806,2.70744,1.97104,0.48539,0.23992,0.22046,0.07907,2.31234,3.10024,2.51221,0.0007055,0.0007055,0.0007055
24,1981.46,1.95124,2.68057,2.00823,0.52059,0.22855,0.22539,0.08381,2.30558,2.91897,2.57652,0.00068075,0.00068075,0.00068075
25,2062.31,1.93416,2.72012,1.99214,0.47576,0.29215,0.23842,0.09496,2.19812,2.85257,2.44732,0.000656,0.000656,0.000656
26,2142.84,1.88537,2.65188,1.96599,0.61774,0.30239,0.27133,0.093,2.29426,2.80995,2.46491,0.00063125,0.00063125,0.00063125
27,2223.04,1.85652,2.58314,1.93285,0.51027,0.28466,0.25803,0.09242,2.21245,2.82376,2.38218,0.0006065,0.0006065,0.0006065
28,2302.97,1.86517,2.6498,1.93779,0.19638,0.32605,0.23972,0.08026,2.23508,3.051,2.4904,0.00058175,0.00058175,0.00058175
29,2383.3,1.84005,2.57073,1.91536,0.34439,0.33795,0.26052,0.09633,2.20499,2.7595,2.41508,0.000557,0.000557,0.000557
30,2463.9,1.87215,2.56478,1.96945,0.18975,0.27132,0.2059,0.07868,2.29146,2.94225,2.54648,0.00053225,0.00053225,0.00053225
31,2544.08,1.79935,2.55296,1.89478,0.53198,0.27825,0.24206,0.08972,2.22696,2.87179,2.44597,0.0005075,0.0005075,0.0005075
32,2624.51,1.76817,2.52208,1.86801,0.3318,0.30843,0.24645,0.0877,2.24254,2.84486,2.48335,0.00048275,0.00048275,0.00048275
33,2705.32,1.70703,2.41417,1.85011,0.18716,0.30745,0.24088,0.09794,2.17747,2.87592,2.48002,0.000458,0.000458,0.000458
34,2785.4,1.75925,2.43146,1.86477,0.26689,0.2831,0.26585,0.11201,2.15302,2.71179,2.42561,0.00043325,0.00043325,0.00043325
35,2865.59,1.7076,2.42141,1.85925,0.31154,0.36923,0.27935,0.11307,2.14913,2.77203,2.40222,0.0004085,0.0004085,0.0004085
36,2945.42,1.78856,2.37724,1.88783,0.31313,0.37197,0.28162,0.11405,2.12959,2.69769,2.35736,0.00038375,0.00038375,0.00038375
37,3025.76,1.69023,2.26286,1.81237,0.37341,0.35362,0.29728,0.10857,2.29158,2.6323,2.48508,0.000359,0.000359,0.000359
38,3105.81,1.71658,2.24091,1.80565,0.39061,0.36064,0.31204,0.11864,2.20569,2.58428,2.42209,0.00033425,0.00033425,0.00033425
39,3185.59,1.68986,2.21569,1.79409,0.3663,0.35786,0.31662,0.11434,2.20317,2.61966,2.42381,0.0003095,0.0003095,0.0003095
40,3270.1,1.64918,2.20303,1.80187,0.47779,0.37374,0.3102,0.12601,2.12972,2.68294,2.41148,0.00028475,0.00028475,0.00028475
41,3349.64,1.84707,2.49935,2.12404,0.38308,0.36689,0.28716,0.11251,2.21793,2.71602,2.53983,0.00026,0.00026,0.00026
42,3429.18,1.68191,2.23488,1.98636,0.36525,0.32333,0.29041,0.10959,2.20051,2.62295,2.49841,0.00023525,0.00023525,0.00023525
43,3509.05,1.67031,2.13883,1.97624,0.34659,0.39649,0.30541,0.11964,2.17539,2.60232,2.45736,0.0002105,0.0002105,0.0002105
44,3588.59,1.64392,2.11094,1.96724,0.39374,0.39714,0.31507,0.12344,2.14619,2.59289,2.3848,0.00018575,0.00018575,0.00018575
45,3668.43,1.62217,2.06957,1.93005,0.40959,0.37641,0.33031,0.12795,2.1709,2.53277,2.39379,0.000161,0.000161,0.000161
46,3748.21,1.63549,2.08623,1.96781,0.49925,0.3542,0.33787,0.13235,2.16228,2.51967,2.38964,0.00013625,0.00013625,0.00013625
47,3828.04,1.57059,1.96785,1.91308,0.5035,0.38225,0.34413,0.13946,2.15291,2.49209,2.38126,0.0001115,0.0001115,0.0001115
48,3907.65,1.65296,1.93076,1.98334,0.45193,0.36437,0.34637,0.14402,2.14043,2.47624,2.38074,8.675e-05,8.675e-05,8.675e-05
49,3987.4,1.55909,1.97908,1.90018,0.4786,0.37494,0.36369,0.14656,2.13904,2.47745,2.392,6.2e-05,6.2e-05,6.2e-05
50,4066.87,1.62213,2.03382,1.96139,0.48793,0.35577,0.35392,0.14601,2.15023,2.46065,2.40331,3.725e-05,3.725e-05,3.725e-05
