epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,85.2362,2.78603,5.18576,2.76958,0.00177,0.3146,0.019,0.00566,3.12948,7.2172,3.03862,0.000325,0.000325,0.000325
2,165.762,2.64505,4.74173,2.50652,0.00099,0.38352,0.01716,0.00471,3.04094,6.8373,3.16748,0.000662428,0.000662428,0.000662428
3,247.198,2.64575,4.69559,2.49771,0.77194,0.01724,0.00776,0.00279,3.24654,7.24159,3.48098,0.000999566,0.000999566,0.000999566
4,330.183,2.67253,4.4669,2.61955,0.50873,0.04106,0.00271,0.00069,3.14479,7.62123,3.61818,0.00124878,0.00124878,0.00124878
5,412.419,2.73081,4.38785,2.65772,0.50195,0.06692,0.00081,0.00018,3.17294,17.3546,4.13948,0.00124783,0.00124783,0.00124783
6,496.19,2.68033,4.24326,2.53393,0.75162,0.06034,0.00132,0.00027,3.34591,45.6965,4.11669,0.00124661,0.00124661,0.00124661
7,582.195,2.57801,4.17121,2.50565,0.75852,0.11207,0.0138,0.0049,3.1261,19.7696,3.36011,0.00124512,0.00124512,0.00124512
8,667.795,2.63574,4.15929,2.5693,0.7658,0.05172,0.00873,0.00272,3.02122,5.40685,3.05072,0.00124336,0.00124336,0.00124336
9,753.279,2.60696,4.08135,2.5417,0.8425,0.01724,0.02028,0.00438,2.97293,4.76842,2.92059,0.00124134,0.00124134,0.00124134
10,838.89,2.55999,4.03446,2.52913,0.80806,0.02586,0.01697,0.00461,2.87419,4.7706,3.14549,0.00123904,0.00123904,0.00123904
11,925.078,2.54527,4.05854,2.49409,0.51276,0.0431,0.00799,0.00272,3.1676,6.07881,3.40663,0.00123648,0.00123648,0.00123648
12,1010.68,2.58859,3.90445,2.51519,0.78509,0.01724,0.01745,0.00484,2.94167,5.14426,3.03614,0.00123365,0.00123365,0.00123365
13,1095.96,2.51103,3.87302,2.48477,0.75675,0.02586,0.01083,0.00272,2.94327,4.5535,3.03592,0.00123056,0.00123056,0.00123056
14,1181.25,2.47942,3.80914,2.44029,0.54859,0.01724,0.03059,0.00965,2.84006,4.29847,2.95929,0.00122721,0.00122721,0.00122721
15,1267.01,2.52467,3.7849,2.465,0.79107,0.02586,0.01819,0.00587,2.83437,5.20377,2.97197,0.00122359,0.00122359,0.00122359
16,1352.45,2.47605,3.82158,2.45712,0.52472,0.06034,0.01665,0.00514,2.93793,5.31496,3.07002,0.00121972,0.00121972,0.00121972
17,1438,2.46334,3.78282,2.4621,0.57869,0.05172,0.05512,0.01409,2.7429,4.60067,2.83176,0.00121558,0.00121558,0.00121558
18,1523.52,2.53851,3.73695,2.50339,0.80363,0.05172,0.04207,0.0135,2.71123,4.27904,2.73912,0.00121119,0.00121119,0.00121119
19,1606.95,2.39938,3.69323,2.41872,0.77483,0.05172,0.02901,0.00654,2.78597,4.45363,2.84329,0.00120655,0.00120655,0.00120655
20,1688.35,2.40707,3.73697,2.44347,0.58246,0.02586,0.02615,0.00815,2.84505,4.96932,2.88182,0.00120165,0.00120165,0.00120165
21,1770.07,2.39941,3.70565,2.4064,0.90715,0.0431,0.05886,0.01736,2.81341,4.55938,2.85997,0.00119651,0.00119651,0.00119651
22,1851.55,2.42522,3.67963,2.39296,0.28001,0.08621,0.03244,0.00979,2.86814,4.81001,3.05946,0.00119111,0.00119111,0.00119111
23,1978.61,2.42131,3.64475,2.38683,0.55272,0.06897,0.04848,0.01843,2.70614,4.11859,2.92076,0.00118547,0.00118547,0.00118547
24,2058.56,2.35904,3.54224,2.33516,0.2722,0.08621,0.03111,0.00865,2.92973,4.31744,2.91368,0.00117959,0.00117959,0.00117959
25,2138.92,2.43735,3.64895,2.41724,0.56202,0.0431,0.04216,0.01727,2.85964,4.51247,2.80109,0.00117346,0.00117346,0.00117346
26,2219.02,2.37975,3.58284,2.35591,0.83595,0.06034,0.0542,0.01998,2.80354,4.24892,2.78415,0.0011671,0.0011671,0.0011671
27,2302.04,2.38529,3.61164,2.37821,0.58469,0.02586,0.04624,0.01538,2.72708,4.24287,2.78526,0.00116051,0.00116051,0.00116051
28,2383.84,2.37667,3.57133,2.37439,0.8091,0.06897,0.05654,0.01707,2.78039,4.1349,2.82915,0.00115368,0.00115368,0.00115368
29,2464.54,2.36789,3.5265,2.36077,0.81161,0.0431,0.02724,0.00694,2.83051,4.07482,2.87948,0.00114662,0.00114662,0.00114662
30,2545.2,2.2737,3.53435,2.31517,0.55913,0.06034,0.03849,0.01528,2.63018,4.51145,2.80824,0.00113934,0.00113934,0.00113934
31,2630.9,2.24348,3.39822,2.31844,0.81808,0.08621,0.04972,0.01582,2.8623,4.58844,2.94198,0.00113183,0.00113183,0.00113183
32,2711,2.33808,3.53756,2.36974,0.59984,0.05744,0.05051,0.02048,2.80904,4.2792,2.87753,0.0011241,0.0011241,0.0011241
33,2792.09,2.31241,3.52156,2.3509,0.82873,0.0431,0.06034,0.02176,2.78967,4.14328,2.87559,0.00111616,0.00111616,0.00111616
34,2872.69,2.27306,3.46502,2.29726,0.62023,0.06034,0.06618,0.0252,2.85037,4.40348,2.93014,0.00110801,0.00110801,0.00110801
35,2953.16,2.27538,3.49796,2.30604,0.81461,0.06897,0.04424,0.01364,2.82123,4.18855,2.90583,0.00109964,0.00109964,0.00109964
36,3033.57,2.26366,3.46871,2.29431,0.37177,0.07503,0.07637,0.02809,2.712,4.0703,2.86184,0.00109107,0.00109107,0.00109107
37,3113.87,2.25597,3.37666,2.34053,0.38881,0.11746,0.06564,0.02168,2.76925,4.60676,2.9457,0.0010823,0.0010823,0.0010823
38,3193.93,2.221,3.41859,2.31685,0.80758,0.07759,0.05284,0.02616,2.75479,4.29444,2.84304,0.00107333,0.00107333,0.00107333
39,3273.98,2.25769,3.44299,2.27587,0.82764,0.06034,0.06273,0.01957,2.8277,4.08086,2.82084,0.00106417,0.00106417,0.00106417
40,3354.13,2.24565,3.34324,2.29439,0.84434,0.03672,0.0535,0.01977,2.84206,4.06369,2.89735,0.00105481,0.00105481,0.00105481
